de_text,en_grtr,tr_llm,tr_llm_comet_score,tr_llm_chrF_score,tr_llm_glsr,tr_llm_glsr_comet_score,tr_llm_glsr_chrF_score
Grundsätzlich ist die Lösung einer Raumfrage immer innerhalb der jeweiligen Einrichtung - ggf. in Zusammenarbeit mit den Raumbeauftragten und Abt. 4.7 - anzustreben.,"Ideally, staff in a particular institute, department or unit will always endeavor to resolve a room or space issue with their colleagues, liaising with the Room Officers and Section 4.7 as required.","In principle, a solution to a space issue should always be pursued within the respective institution—if necessary in cooperation with the space officers and Department 4.7.",0.6596,35.28,"In principle, a space issue should always be addressed within the respective unit – if necessary in collaboration with the space officers and Dept. 4.7.",0.6629,29.87
"Anträge auf Bereitstellung zusätzlicher Räume durchlaufen immer ein Verfahren zur Bedarfsfeststellung (Flächenbilanzierung und Kennwertverfahren), ggf. mit einer Bewertung der tatsächlichen Situation vor Ort.","All requests for the provision of additional rooms undergo a needs analysis (extent accounting and parameter-based method for determining space requirements), if necessary including an assessment of the actual situation on the ground.","Requests for the provision of additional rooms always undergo a needs assessment procedure (area accounting and key‑figure method), possibly including an evaluation of the actual on‑site situation.",0.8373,55.4,"Requests for additional rooms always go through a needs determination process (area accounting and Parameter-based space requirements calculation), possibly including an assessment of the actual situation at the venue.",0.8232,60.25
"Das Ergebnis dieses Verfahrens entscheidet darüber, ob einer Universitätseinrichtung zusätzliche Räume zur Verfügung gestellt werden (können).","The results of this process determine whether additional rooms will or can be provided to an institute, department or unit at the University.",The result of this procedure determines whether additional rooms can be provided to a university institution.,0.8489,61.55,The result of this procedure determines whether a university institution can be provided with additional rooms.,0.8267,58.3
Es werden durch die Abteilung 4.7 regelmäßige Datenaktualisierungen durchgeführt (alle zwei Jahre).,Section 4.7 carries out regular data updates (every two years).,Regular data updates are carried out by department 4.7 (every two years).,0.87,64.52,Section 4.7 carries out regular data updates (every two years).,0.9785,100.0
Das Kennwertverfahren ist ein vom MKW (Ministerium für Kultur und Wissenschaft des Landes Nordrhein-Westfalen) vorgegebenes Tool zur Flächenbedarfsermittlung.,The parameter-based method is a tool for determining space requirements whose use is prescribed by the Ministry of Culture and Science of NRW (MKW).,The Kennwertverfahren is a tool for determining area requirements prescribed by the MKW (Ministry of Culture and Science of the State of North Rhine-Westphalia).,0.7511,61.91,The Parameter-based space requirements calculation is a tool prescribed by the MKW (Ministry of Culture and Science of the State of North Rhine‑Westphalia) for determining space needs.,0.8127,70.59
"Es ermöglicht die Größenordnung der verschiedenen Nutzflächen (NUF 1-6) zu bestimmen, die die fachlichen Einrichtungen für Forschung, Lehre und Weiterbildung sowie den zentralen Hochschulbibliotheken und zentralen Hochschulverwaltungen benötigen.","It enables a calculation of how much of the various categories of usable space (NUF 1–6) is required by the University’s institutes, departments and units for research, teaching and continual professional development and by its libraries and Central Administration teams.","It enables the determination of the scale of the various usable areas (NUF 1‑6) required by the academic units for research, teaching and further education, as well as the central university libraries and central university administrations.",0.7977,50.13,"It enables the determination of the scale of the various usable areas (NUF 1‑6) required by the academic units for Research, Teaching and Continual professional development, as well as by the central university libraries and central university administrations.",0.7984,56.81
Das Kennwertverfahren ist Grundlage zur Beantragung zusätzlicher Flächen der Universität.,Any applications for additional University space will be based on this method.,The key figure method is the basis for applying for additional university space.,0.8025,49.03,Any applications for additional University space will be based on this method.,0.966,100.0
"Bei allen Fragen grundsätzlicher Art, Problemen oder Unklarheiten rund um das Thema Flächenentwicklung wenden Sie sich bitte an Fr. Scheffenborn oder Herrn Wyrwa.","Please contact Sophie Scheffenborn or Sebastian Wyrwa if you have any general questions, problems or doubts regarding land development.","For any fundamental questions, problems, or uncertainties regarding the topic of area development, please contact Ms. Scheffenborn or Mr. Wyrwa.",0.8219,55.6,"For any fundamental questions, problems, or uncertainties concerning the topic of land development, please contact Ms. Scheffenborn or Mr. Wyrwa.",0.8412,53.08
Sie suchen Informationen und Hilfe zur Vergabe oder Reservierung der Uni-Räume?,Looking for information on and help with allocating or booking rooms at the University?,Are you looking for information and assistance regarding the allocation or reservation of university rooms?,0.8928,52.51,Are you looking for information and help about allocating or reserving university rooms?,0.9083,61.34
Sie suchen Informationen zu den Standorten und Gebäude der Universität?,Looking for information on the University’s various sites and buildings?,Are you looking for information about the university's locations and buildings?,0.9145,62.31,Looking for information on the University’s various sites and buildings?,0.9737,100.0
"Aufzug fährt nicht, Heizung bleibt kalt oder Sie haben eine andere technische Störung im Gebäude bzw. der -Infrastruktur?",Is your elevator stuck? Is your heating not coming on? Or maybe you’re experiencing a different kind of technical problem in your building or building infrastructure.,"Elevator not working, heating stays cold, or you have another technical problem in the building or the infrastructure?",0.8403,39.54,"Elevator not working, Heating stays cold, or you have another technical fault in the building or the infrastructure?",0.802,32.98
Sie sind noch nicht für das Meldeportal freigeschaltet?,Not yet been given access to the reporting portal?,You are not yet authorized for the reporting portal?,0.8319,50.49,You have not yet been given access to the reporting portal?,0.9265,94.12
Der Benutzername und das Passwort werden an die o.a. E-Mail-Adresse versendet.,Your user name and password will be sent to the email address entered above.,The username and password are sent to the above-mentioned email address.,0.914,63.7,The username and password are sent to the above‑mentioned Email address.,0.8988,62.04
"Verwenden Sie bitte ausschließlich eine E-Mail-Adresse, auf die lediglich Sie als Antragsteller*in Zugriff haben!",Please only specify an email address to which you—as the person making the request—have sole access.,"Please use only an email address that only you, as the applicant, have access to.",0.884,42.28,"Please use only an email address that only you, as the applicant, have access to!",0.8858,42.08
Bei allen technischen Fragen rund um das Meldeportal stehen Ihnen die Mitarbeiter*innen des Fachbereichs CAFM gerne zur Verfügung.,Please do not hesitate to contact the CAFM team if you have any technical questions about the reporting portal.,"For any technical questions about the reporting portal, the staff of the CAFM department are happy to assist you.",0.8182,59.16,"If you have any technical questions about the reporting portal, the staff of the CAFM department are happy to help.",0.8417,65.31
"Hiermit wird bestätigt, dass gefährliche Reaktionen des o.g. Gemisches ausgeschlossen sind und der Behälter zur Entsorgung freigegeben werden kann.",I hereby confirm that the mixture specified above will not trigger a dangerous reaction and that the container can be approved for disposal.,This confirms that dangerous reactions of the above-mentioned mixture are ruled out and the container can be released for disposal.,0.8344,53.55,This confirms that dangerous reactions of the aforementioned mixture are ruled out and the container can be released for disposal.,0.8351,52.19
"Die Abfälle, die in meinem Verantwortungsbereich anfallen, wurden anhand der Entsorgungsrichtlinie bewertet.",The waste generated within my area of responsibility has been assessed in line with the waste disposal guidelines.,The waste generated within my area of responsibility was evaluated according to the disposal guidelines.,0.9225,69.31,The waste generated within my area of responsibility was evaluated according to the Waste Disposal Guidelines.,0.9088,64.44
Das Ergebnis ist in der folgenden Tabelle dokumentiert.,The results are recorded in the table below.,The result is documented in the table below.,0.9342,65.69,The results are recorded in the table below.,0.9731,100.0
"Sofern eine angegebene Abfallgruppe den Abfall nicht eindeutig klassifiziert, habe ich das Formular für „Nicht zuzuordnende Abfälle“ ausgefüllt.","Where a waste group indicated does not classify the waste beyond any ambiguity, I have filled in the “Non-Classifiable Chemical Waste” form.","If a specified waste group does not clearly classify the waste, I have filled out the form for “Unclassifiable waste.”",0.8521,47.04,"If a specified waste group does not clearly classify the waste, I filled out the form for “Unassignable waste.”",0.8495,39.26
"Ich werde sicherstellen, dass die Einstufung der Abfälle regelmäßig (d.h. mindestens einmal jährlich) überprüft wird.",I will ensure that the waste classification is checked regularly (i.e. at least once a year).,"I will ensure that the waste classification is reviewed regularly (i.e., at least once a year).",0.9356,86.4,"I will ensure that the classification of the waste is reviewed regularly (i.e., at least once every year).",0.9239,75.68
"Sollte sich diese Einstufung ändern, z.B. durch Veränderung der Arbeitsverfahren, werde ich sicherstellen, dass die Abteilung 4.1 umgehend informiert wird.","If this classification changes, e.g. due to changes in working methods, I will make sure that Section 4.1 is notified without delay.","Should this classification change, for example due to changes in the work procedures, I will ensure that department 4.1 is informed immediately.",0.8516,50.07,"Should this classification be modified, for example due to changes in the work procedures, I will ensure that Section 4.1 is informed immediately.",0.8749,53.61
Bis zu diesem Zeitpunkt ist die Einstufung verbindlich.,"Unless and until this happens, the classification is binding.","Until this point, the classification is binding.",0.8809,65.33,"Unless and until this happens, the classification is binding.",0.9706,100.0
"Außerdem versichere ich, dass ich für alle Abfälle, die in meinem Verantwortungsbereich anfallen, bis zur Entsorgung sicherstelle, dass von den Behältern oder deren Inhalt keinerlei Gefahren für Personen oder die Umwelt ausgehen können.","I also confirm that, for all the waste generated within my area of responsibility, I will make sure that neither the containers nor their contents can pose any risk whatsoever to people or the environment.","Furthermore, I certify that for all waste generated within my area of responsibility, I will ensure, until disposal, that neither the containers nor their contents pose any danger to people or the environment.",0.888,72.97,"Furthermore, I certify that for all waste generated within my area of responsibility, up to disposal, I ensure that neither the containers nor their contents pose any danger to people or the environment.",0.8711,72.21
"Außerdem versichere ich, dass ich bis zur Entsorgung sicherstelle, dass von den Behältern oder deren Inhalt keinerlei Gefahr für Personen oder die Umwelt ausgehen kann.",I also hereby confirm that I shall ensure that neither the containers nor their contents can pose any risk whatsoever to people or the environment right up until the waste is disposed of.,"Furthermore, I assure that I will ensure that, until disposal, the containers or their contents pose no danger to people or the environment.",0.8725,50.6,"Furthermore, I assure that I, to the Disposal, ensure that no danger to persons or the environment can arise from the containers or their Contents.",0.7313,42.68
"Wird für die Aufstellung der Container Datum/Uhrzeit nicht angegeben, wird der Container innerhalb von 48 Std. morgens um 08:00 Uhr angeliefert.","if no date or time is specified for setting up the container, it will be delivered within 48 hours and arrive at 8 am.","If no date/time is given for the container's placement, the container will be delivered within 48 hours, at 8:00 a.m.",0.8592,53.95,"If the Date/Time for the Setup of the Containers is not specified, the container will be delivered within 48 hours, in the morning at 08:00.",0.8205,53.13
"Wenn kein Datum für die Abholung genannt wird, bitten wir Sie, sich bei Abholungs- wunsch mit uns in Verbindung zu setzten.","If no date is specified for pickup, please contact us if you would like to arrange a pickup.","If no date for the pickup is mentioned, we ask you to get in touch with us regarding your pickup request.",0.8565,31.46,"If no Date for the Pickup is given, please contact us about your Pickup request.",0.8378,37.02
"Mit meiner Unterschrift bestätige ich, dass der Abfall den in der Entsorgungsrichtlinie genannten Kriterien entspricht und dass zum Entsorgungstermin ein Mitarbeiter als Ansprechpartner zur Verfügung steht.","By signing, I confirm that the waste meets the criteria in the waste disposal guidelines and that a member of staff will be available to act as a point of contact at the time of disposal.","By signing, I confirm that the waste meets the criteria specified in the disposal guidelines and that a staff member will be available as a contact person on the disposal date.",0.8905,70.21,By my Signature I confirm that the waste meets the criteria set out in the Waste Disposal Guidelines and that a staff member will be available as a Contact on the disposal date.,0.8359,62.05
"Wichtig: Hier die Behälter angeben, die nicht den Gefahrguttransportvorgaben entsprechen (beschädigt oder Kunststoffbehälter älter als 5 Jahre).",Here you should list the containers that do not comply with the transport regulations for dangerous goods (because they are damaged or more than five years old and made of plastic).,Important: List here the containers that do not meet the hazardous material transport regulations (damaged or plastic containers older than five years).,0.8331,51.02,N.B.: List the containers here that do not comply with hazardous‑material transport requirements (damaged or plastic containers older than five years).,0.8145,50.22
Die oben angegebenen Behälter sind mit mindestens einer intakten Plombe versehen.,The containers listed above are fitted with at least one intact seal.,The containers listed above are equipped with at least one intact seal.,0.9332,87.84,The containers listed above are fitted with at least one intact seal.,0.9583,100.0
Zur Identifizierung des ausgebauten Filters bitte auf die Verpackung eine Kopie dieses vollständig ausgefüllten Formulars kleben!,Please stick a copy of this form to the packaging once it has been completed in full in order to identify the filter that has been removed.,"To identify the removed filter, please attach a copy of this fully completed form to the packaging!",0.8316,51.93,"To identify the removed filter, please attach a copy of this fully completed form to the packaging.",0.8288,52.09
Die auf Seite 2 aufgelisteten Abfälle werden hiermit zur Entsorgung angemeldet.,I would like to report the waste listed on page 2 for disposal.,The waste listed on page 2 is hereby registered for disposal.,0.8352,58.11,The waste listed on Page 2 is hereby registered for disposal.,0.83,51.12
"Mit der Unterschrift wird bestätigt, dass es sich um Abfälle oder Abfallgemische handelt, bei denen aufgrund der Zusammensetzung gefährliche Reaktionen auszuschließen sind.","By signing, I confirm that the waste or mixtures of wastes involved cannot trigger a dangerous reaction on account of its/their composition.","By signing, it is confirmed that the waste or waste mixtures are such that dangerous reactions can be excluded due to their composition.",0.7944,56.49,The Signature confirms that the material is waste or waste mixtures for which dangerous reactions can be ruled out because of the Composition.,0.6619,45.0
Insbesondere organische Flüssigkeiten bzw. Lösemittel enthalten keine Peroxide.,"In particular, there are no organic liquids and/or solvents that contain peroxides.","In particular, organic liquids or solvents contain no peroxides.",0.9039,63.03,"In particular, there are no organic liquids and/or solvents that contain peroxides.",0.9637,100.0
"Ich versichere, dass ich bis zur Entsorgung sicherstelle, dass von den Behältern oder deren Inhalt keinerlei Gefahr für Personen oder die Umwelt ausgehen kann.",I hereby confirm that I shall ensure that neither the containers nor their contents can pose any risk whatsoever to people or the environment right up until the waste is disposed of.,"I certify that, until disposal, I will ensure that the containers or their contents pose no danger to people or the environment.",0.8801,49.83,"I certify that, up to disposal, I will ensure that the containers or their contents present no danger to people or the environment.",0.8661,48.85
Diese sind direkt vom Institut an den Vermieter zurückzugeben!,and must be returned to the hire firm by the institute or department itself.,These must be returned directly from the institute to the landlord!,0.7965,47.57,"These must be returned directly to the landlord, dated by the Institute!",0.6939,44.09
"Hiermit bestätige ich, dass alle mit diesem Entsorgungsantrag angemeldeten Sonderabfälle von der Abteilung 4.1 - Zentrale Serviceaufgaben entsorgt wurden.",I hereby confirm that all the special waste reported in this waste disposal request has been disposed of by Section 4.1—Infrastructure and Facility Services.,I hereby confirm that all special waste reported with this disposal request has been disposed of by Department 4.1 – Central Service Tasks.,0.8269,61.78,I hereby confirm that all special waste registered with this disposal request have been disposed of by Section 4.1 – Central Service Tasks.,0.8261,62.16
Von der Entsorgung ausgeschlossen sind radioaktive Substanzen und infektiöse Abfälle.,Radioactive substances and infectious waste cannot be disposed of via the usual channels.,Radioactive substances and infectious waste are excluded from disposal.,0.8257,59.08,Radioactive substances and infectious waste are excluded from disposal.,0.8257,59.08
Die Verpackung der Chemikalien erfolgt ausschließlich durch Mitarbeiter der beauftragten Firmen.,Chemicals may only be packaged by staff from the companies tasked with the work.,The packaging of the chemicals is carried out exclusively by employees of the contracted companies.,0.8462,36.67,The packaging of the chemicals is carried out exclusively by employees of the contracted companies.,0.8462,36.67
"Die Chemikalien müssen, soweit möglich, bei der Anmeldung den verschiedenen Gruppen zugeordnet werden.",The chemicals must be assigned to the various groups when the report is submitted if possible.,"The chemicals must, as far as possible, be assigned to the various groups during registration.",0.7985,61.9,"The chemicals must, as far as potential permits, be assigned to the various groups during registration.",0.7078,58.02
Für folgende Abfallgemische kann keine Zuordnung anhand der Entsorgungsrichtlinie erfolgen.,The following mixtures of wastes cannot be categorized in accordance with the waste disposal guidelines.,No assignment can be made for the following waste mixtures based on the disposal directive.,0.7192,37.08,None of the following waste mixtures can be assigned based on the Waste Disposal Guidelines.,0.7228,43.47
"Es ist ausreichend, die Gebindegröße und die jeweilige Anzahl anzugeben.",Stating the size and quantity of each container is sufficient.,It is sufficient to specify the pack size and the respective quantity.,0.8001,45.16,Stating the size and quantity of each container is sufficient.,0.9486,100.0
"Wenn die Tabelle nicht ausreichend ist, bitte weitere Chemikalien in einer ähnlichen Excelliste aufführen.","If you need more space, please list additional chemicals in an Excel spreadsheet with a similar layout.","If the table is not sufficient, please list additional chemicals in a similar Excel sheet.",0.8467,54.82,"If the table is insufficient, please list additional chemicals in a similar Excel list.",0.8318,51.65
"Darin eingeschlossen sind Laborabfälle, Abfälle aus dem Erhalt und Pflege der Gebäude und Flächen, Rest- bzw. Siedlungsabfall, Papier- und Kartonagen, Transportverpackungen sowie diverse andere Abfälle.","including laboratory waste, waste from maintaining and looking after buildings and spaces, general and residential waste, paper and cardboard, transport packaging and waste of many other kinds.","Included are laboratory waste, waste from the maintenance and care of buildings and areas, municipal (residential) waste, paper and cardboard, transport packaging, and various other wastes.",0.8619,60.55,"Included are laboratory waste, waste from the maintenance and upkeep of the building and its grounds, residual (municipal) waste, Paper and cardboard, Transport packaging, and various other waste.",0.8019,52.66
Die vorliegende Richtlinie stellt Ihnen die Organisation der Abfallwirtschaft innerhalb der Universität Bonn vor und gibt Ihnen Hilfestellung bei der Einstufung und Entsorgung von Abfällen.,These guidelines explain how waste management is organized at the University of Bonn and will help you to categorize and dispose of your waste.,This guideline presents the organization of waste management within the University of Bonn and provides you with assistance in the classification and disposal of waste.,0.8603,51.8,This guideline introduces the organization of waste management at the University of Bonn and provides assistance with waste classification and Disposal.,0.8232,49.37
"Nicht nur der wirtschaftliche Aspekt, sondern ebenso der Umweltgedanke verpflichtet die Universität Bonn zur Einhaltung der Grundsätze der Kreislaufwirtschaft.","That the University of Bonn is committed to upholding the principles of the circular economy is down not only to economic considerations but also, and in particular, the environmental aspect.","Not only the economic aspect, but also the environmental consideration obliges the University of Bonn to adhere to the principles of the circular economy.",0.84,60.11,"Not only the economic aspect, but also the environmental concern obliges the University of Bonn to adhere to the basic principles of the circular economy.",0.839,53.85
"Abfälle sind in erster Linie zu vermeiden, in zweiter Linie zu verwerten und erst in letzter Instanz zu beseitigen.","Waste must ideally be avoided. If this is not possible, it must be recycled, and only as a last resort is it to be disposed of.","Waste should first be avoided, then recovered, and only as a last resort be disposed of.",0.8229,47.8,"Waste should first be avoided, then recovered, and only as a last resort be disposed of.",0.8229,47.8
"Im Hochschulbereich kann unter Beachtung dieser Grundsätze das Abfallaufkommen nicht nur erheblich reduziert, sondern darüber hinaus ebenso die Entsorgungskosten minimiert werden.",Adhering to these principles will enable the University not only to significantly reduce the amount of waste it generates but also to minimize the costs for disposing of it.,"In the higher education sector, by observing these principles, waste generation can not only be significantly reduced, but also disposal costs can be minimized.",0.8214,46.97,"In the higher education sector, by observing these basic principles, waste generation can not only be significantly reduced, but also disposal costs can be minimized.",0.8177,45.09
"Demnach sollte schon vor dem Neukauf von Einrichtungsgegenständen, Apparaturen oder elektrischen/elektronischen Geräten auf einen möglichen Entsorgungsweg der Altgeräte geachtet werden.","Even before buying any new appliances, apparatus or electric/electronic devices, therefore, institutes, departments and units should consider how they might dispose of their old equipment.","Therefore, even before purchasing new furniture, appliances, or electrical/electronic devices, one should consider a possible disposal method for the old equipment.",0.8034,52.51,"Accordingly, even before buying new furnishings, apparatuses, or electrical/electronic devices, one should consider the possible disposal method for the old equipment.",0.8096,52.53
Viele Anbieter nehmen auf Anfrage die alten Geräte im Austausch zurück.,Many providers will take it back if you ask them.,"Many providers will, upon request, take back the old devices in exchange.",0.8149,48.65,Many providers will take it back if you ask them.,0.9605,100.0
"Bitte informieren Sie sich daher bei Neuanschaffungen, Wartungsarbeiten oder Reparaturen immer bei ihrem jeweiligen Dienstleister, ob dieser Entsorgungsservice angeboten wird, und setzen Sie sich mit der Abteilung 4.1 – Sachgebiet Entsorgung und Gefahrgut in Verbindung.","This means that, when making a new purchase or commissioning maintenance or repair work, you should always ask your service provider whether they offer such a disposal service and get in touch with Section 4.1, Waste Management and Hazardous Materials Unit.","Therefore, when acquiring new equipment, carrying out maintenance or repairs, always check with your respective service provider whether they offer a disposal service, and get in touch with Department 4.1 – Waste Disposal and Hazardous Materials.",0.8314,55.35,"Therefore, whenever you acquire new equipment, perform maintenance, or carry out repairs, please always check with your respective service provider whether they offer a disposal service, and get in touch with Section 4.1 – Waste Management and Hazardous Materials Unit.",0.8417,62.92
Seit der deutschlandweiten Umstellung von der Abfallentsorgung auf die differenziertere Abfallwirtschaft liegt das Hauptaugenmerk auf der Reduzierung der Abfallmengen zur Beseitigung.,"Since Germany switched from disposing of all its waste to a more nuanced approach to waste management, the focus has been on reducing the amount of waste requiring disposal.","Since Germany's nationwide shift from waste disposal to a more differentiated waste management system, the main focus has been on reducing the amount of waste to be disposed of.",0.8411,59.48,"Since the nationwide shift from waste disposal to a more differentiated waste management system, the main focus has been on reducing the amounts of waste destined for disposal.",0.8128,53.74
"Eine Maßnahme ist es, die Abfälle zu sortieren, zu trennen und einer Verwertung zu kommen zu lassen, z. B. getrenntes Sammeln der Kunststoffabfälle.","One way of doing this is to sort and separate waste and arrange for it to be re-used, e.g. by collecting different kinds of plastic waste separately.","One measure is to sort the waste, separate it, and make it available for recycling, e.g., separate collection of plastic waste.",0.8577,42.33,"An Action is to sort the waste, separate it, and bring it to utilization, e.g., separate collection of plastic waste.",0.8017,40.15
"Das Weiter- oder Wiederverwenden von Gegenständen oder Chemikalien kann über sogenannte Tausch-, Altgeräte- oder Chemikalienbörsen organisiert werden.",There exist websites and other platforms for arranging the continued use or re-use of old equipment or chemicals.,"The further or reuse of items or chemicals can be organized through so-called exchange, used‑equipment, or chemical exchanges.",0.6877,34.78,"Further or repeated use of items or chemicals can be organized regarding so-called exchange, used‑device, or chemical exchanges.",0.6711,30.33
"Zudem ist es bei Bestellungen von Chemikalien ratsam, nur die tatsächlich benötigte Menge zu bestellen, um hohe Entsorgungskosten zu vermeiden.","When buying chemicals, it is also a good idea not to order any more than is required in order to avoid high disposal costs.","Furthermore, when ordering chemicals, it is advisable to order only the amount actually needed in order to avoid high disposal costs.",0.8596,59.53,"Moreover, when ordering chemicals, it is advisable to order only the amount actually needed to avoid high disposal costs.",0.86,54.76
Diese Richtlinie regelt die ordnungsgemäße Sammlung und Entsorgung von Abfällen.,These guidelines explain how to collect and dispose of waste correctly.,This policy regulates the proper collection and disposal of waste.,0.8959,37.47,These guidelines explain how to collect and dispose of waste correctly.,0.9724,100.0
"Teil A erörtert die Abfallgruppen und die Entsorgung von nicht chemischen Abfällen wie gemischte Siedlungsabfälle (Restmüll), Altpapier oder Elektronikschrott und gilt für die Rheinische Friedrich-Wilhelms-Universität Bonn.","Part A covers the various waste groups for and the disposal of non-chemical waste such as mixed residential waste (general waste), used paper or e-waste and applies to the University of Bonn.","Part A discusses the waste categories and the disposal of non‑chemical waste such as mixed municipal waste (residual waste), waste paper, or electronic scrap and applies to the Rheinische Friedrich‑Wilhelms‑University Bonn.",0.8177,57.19,"Part A discusses the waste categories and the disposal of non‑chemical waste such as mixed municipal waste (residual waste), waste paper, or e‑waste, and applies to the University of Bonn.",0.8494,62.87
"Teil B erörtert die Abfallgruppen und die Entsorgung von chemischen Abfällen, die in der Regel in Laboratorien oder Werkstätten anfallen.","Part B covers the various waste groups for and the disposal of chemical waste, which is usually generated in laboratories or workshops.",Part B discusses the waste categories and the disposal of chemical waste that typically arise in laboratories or workshops.,0.8912,58.57,Part B discusses the waste categories and the Disposal of chemical waste that typically arises in laboratories or workshops.,0.8631,55.4
"Dieser Teil gilt für die Rheinische Friedrich-Wilhelms-Universität Bonn, das Universitätsklinikum Bonn sowie die Stiftung zool. Forschungsmuseum Alexander Koenig.","This part applies to the University of Bonn, the University Hospital Bonn and the Zoological Research Museum Alexander Koenig Foundation.","This part applies to the Rheinische Friedrich‑Wilhelm University Bonn, the University Hospital Bonn, and the Alexander Koenig Zoological Research Museum Foundation.",0.8443,81.48,"This part applies to the University of Bonn, the University Hospital Bonn, and the Alexander Koenig Zoological Research Museum Foundation.",0.9091,91.09
Die chemischen Abfälle sind regelmäßig (d. h. mindestens einmal jährlich) auf ihre Zusammensetzung zu überprüfen.,The composition of chemical waste must be checked regularly (i.e. at least once a year).,"The chemical waste must be regularly (i.e., at least once a year) checked for its composition.",0.924,79.47,"The chemical waste must be regularly (i.e., at least once every year) checked for its composition.",0.92,73.78
