de,en,frequency
Kooperationen mit Unternehmen,Partnerships with companies,2
Formular,Form,2
Forschungsverträge,Research contracts,2
Hoheitliche Verbundprojekte,Public-interest collaborative projects,2
Nagoya-Protokoll,Nagoya Protocol,2
Steuern,Taxes,2
Umgang mit dem Nagoyaprotokoll,Dealing with the Nagoya Protocol,2
Unteraufträge,Subcontracts,2
Forschungsdatenmanagement,Research data management,2
Deutsche Forschungsgemeinschaft,German Research Foundation,2
EU-Ausschreibungen,EU calls for proposals,2
Nachwuchsförderung,Promotion of early-career researchers,2
Bundesministerien,Federal ministries,2
Stiftungen,Foundations,2
"Transfer: Innovation, Ausgründungen, Gesellschaft, Validierung","Transfer: innovation, spin-offs, society, validation",2
Landesministerien,State ministries,2
Weitere Programme,Other programs,2
Interne Ausschreibungen,In-house calls for proposals,2
Direkt eine Supportanfrage stellen,Request support now,2
Forschungsethik,Research ethics,2
EU-Anreizprogramm,EU incentive program,2
Dauer,Duration,2
Zentraler Übersetzungsservice,Central Translation Service,2
Transfer Center enaCom,enaCom Transfer Center,2
Mehr erfahren,Learn more,2
"Fachbereich, Fakultät, Organisationseinheit *","Department, faculty, organizational unit *",2
Medizinische Fakultät,Faculty of Medicine,2
Konkretisierung Organisationseinheit *,Name of organizational unit *,2
Eigenes oder fremdes Anliegen *,Are you inquiring for yourself or someone else? *,2
Arbeiten im Ausland,Working abroad,2
Betriebliches Eingliederungsmanagement (BEM),Occupational (re-)integration management,2
Beratung in Konfliktsituationen,Advice in conflict situations,2
Homepage,Web page,2
Förderatlas wiss. Nachwuchs,Funding Atlas for Early-Career Researchers,2
EU Horizon Europe,The EU’s Horizon Europe program,2
Chemie,Chemistry,2
Biologie,Biology,2
Prozedere Antragstellung,Procedure for submitting proposals,2
Berechnungstool Hilfskräfte,Calculation tool for assistant costs,2
Ausländische Mittelgeber,Funding providers based abroad,2
P.R.I.M.E.,PRIME,2
Inhaltsverzeichnis,Contents,2
Personalblatt SHK/WHF,Personnel record for student assistants (SHK)/graduate student assistants (WHF),2
Antrag Personalbearbeitung für Wissenschaftliche Beschäftigte,Personnel processing request for academic staff,2
Tätigkeitsdarstellung,Job description,2
Personalblatt für wiss. Beschäftigte,Personnel record for academic staff,2
Informationen zur Sozialversicherung,Social security information,2
Erklärung zur Auslandskrankenversicherung,Declaration regarding health insurance abroad,2
ggf. Anzeige einer Nebentätigkeit (Wichtig: Unterschrift des Fachvorgesetzten),"Declaration of secondary employment, if relevant (N.B.: line manager’s signature required)",2
Erklärung Straf- oder Ermittlungsverfahren,Declaration regarding criminal or investigative proceedings,2
Antrag Personalbearbeitung für nichtwissenschaftliche Beschäftigte,Personnel processing request for non-academic staff,2
Projektbegründung,Project justification,2
Hinweis:,Note:,2
Antrag Personalbearbeitung Beamte,Personnel processing request for civil servants,2
Personalblatt,Personnel record,2
Vordruck LBV (Bes) 1.2014,“LBV (Bes) 1.2014” form,2
Anzeige einer Nebentätigkeit,Declaration of secondary employment,2
Antrag Personalbearbeitung für Hilfskräfte,Personnel processing request for assistants,2
Nachweis der Beschäftigungszeit,Proof of period of employment,2
Schwerbehindertenvertretung,Office of Disability Resources,2
Zeiterfassung,Time recording,2
Bonner Graduiertenzentrum (BGZ),Bonn Graduate Center (BGC),2
Textbaustein Förderung des wiss. Nachwuchses,“Promotion of early-career researchers” text block,2
Stabsstelle Chancengerechtigkeit und Diversität,Equal Opportunity and Diversity Unit,2
Hochschulkommunikation,University Communications,2
Antrag,Request,2
"Leitfaden easyOnline (pdf 3,57 MB)",easyOnline guidelines in German (PDF 3.57 MB),2
Leitfaden easyOnline Engl.,easyOnline guidelines in English,2
AZA-Muster 2023 (pdf 488 kb),Specimen AZA 2023 (PDF 488 kB),2
Weitere Informationen und Kennzahlen,More information and key figures,2
Direkt Kontakt aufnehmen,Get in touch,2
Zu den Amtlichen Bekanntmachungen,To the Official Announcements,2
Zu den Lesefassungen,To the unofficial versions,2
Beratung & Coaching,Advice and coaching,2
Rahmenbedingungen & Rechtliches,Framework and legal information,2
Förderung,Funding,2
Weiterbildung & Karriereentwicklung,Continual professional and career development,2
Internationales,International matters,2
Zahlen & Fakten,Facts and figures,2
Melden Sie sich hier an,Subscribe here,2
Übersicht universitätsinterner Fördermöglichkeiten,Overview of funding provided by the University,2
Übersicht externer Fördermöglichkeiten,Overview of external funding opportunities,2
Weitere Informationen zur Drittmittel-Antragstellung und Förderberatung,More information on applying for third-party funding and obtaining funding advice,2
Förderatlas wissenschaftlicher Nachwuchs,Funding Atlas for Early-Career Researchers,2
Beratungstermin vereinbaren,Book a consultation,2
Karrierecoaching oder Hospitation nach Zertifikatserwerb Doctorate plus,Careers coaching or work shadowing for holders of the “Doctorate plus” certificate,2
Terminbuchung,Book an appointment,2
Coaching anfragen,Request coaching,2
Beratung anfragen,Request a consultation,2
Übersicht Beratungsstellen,Overview of counseling services,2
Personalentwicklung,Human Resource Development,2
Hier Feedback geben,Leave feedback here,2
Zum Argelander Programm,To the Argelander Program,2
Zertifikat Doctorate plus - Add-on,Add-ons to the “Doctorate plus” certificate,2
Zertifikat Business and Organizations:,Business and Organizations Track certificate:,2
Doktorhut - alles gut?!,“Doktorhut – alles gut?!”,2
Careers with a Doctorate,“Careers with a Doctorate”,2
Job Talks für Promovierende und Promovierte,“Job Talks by Doctoral Degree Holders”,2
SciComm-Angebote,Science communication services,2
Weitere Informationen finden Sie hier.,Further information is available here.,2
MeTra Mentoring & Training,“MeTra” mentoring and training,2
STEP-Angebote,STEP courses,2
Professur (W 2 / W 3),Professorships (W2/W3),2
"dem (Wieder-)Besetzungsbogen,",The (re-)appointment sheet,2
Honorarprofessur Titellehre,Teaching as an honorary professor,2
Beratungsstelle,Counseling service,2
BÄD,Staff physicians office,2
Psychotherapeutische Hochschulambulanz,University Psychotherapy Outpatient Clinic,2
UKB,University Hospital Bonn,2
Familienbüro,Office of Family Services,2
Beschäftigtenbefragung,Staff survey,2
Ergonomie am Arbeitsplatz,Workplace ergonomics,2
Hier können Sie sich registrieren.,Click here to sign up.,2
Anfrageformular ausfüllen,Fill in inquiry form,2
Styleguide herunterladen,Download the style guide,2
E-Mail an cambio,Email cambio,2
Stationen finden,Find stations,2
E-Mail zentrale Beschaffung,Email Central Procurement,2
Beschaffung (Einkauf),Procurement (purchasing),2
Prüfung elektrischer Geräte,Testing electrical equipment,2
Merkblatt Anforderungen an Laserlabore,“Requirements of Laser Laboratories” information sheet,2
Arbeitsschutzgesetz (ArbSchG),Occupational Health and Safety Act (ArbSchG),2
Verordnung zur arbeitsmedizinischen Vorsorge (ArbMedVV),Ordinance on Preventive Occupational Health Care (ArbMedVV),2
Arbeitsmedizinische Vorsorge,Preventive occupational healthcare,2
Merkblatt Laserunfall,Information sheet on laser-related accidents,2
Strahlenschutz,Radiation protection,2
Strahlenschutzgesetz,Radiation Protection Act,2
Strahlenschutzverordnung,Radiation Protection Ordinance,2
Strahlenschutzanweisung Templat,Template for radiation protection instructions,2
Laserschutz,Laser protection,2
Röntgenschutz,X-ray protection,2
Organisationsplan Strahlenschutz,Organizational chart for radiation protection,2
Zu RaDoClid,To RaDoClid,2
RaDoClid Benutzerhandbuch,RaDoClid user manual,2
Handbuch EPD,EPD manual,2
Allgemeine Strahlenschutzanweisung der Universität Bonn,General radiation protection instructions at the University of Bonn,2
Musterprotokoll Unterweisung (word),Specimen briefing log (Word),2
Musterprotokoll Unterweisung (pdf),Specimen briefing log (PDF),2
Strahlenschutzvereinbarung mit Fremdfirmen,Radiation protection agreement with third-party companies,2
Merkblatt Zutritt von Fremdfirmen,Information sheet on admitting third-party companies,2
Musterprotokoll Unterweisung inkl. Abgrenzungsvertrag (word),Specimen briefing log including demarcation agreement (Word),2
Musterprotokoll Unterweisung inkl. Abgrenzungsvertrag(pdf),Specimen briefing log including demarcation agreement (PDF),2
Betriebstagebuch Untertischgeräte,Operating log for under-sink appliances,2
Registrierung Strahlenpass,Registration of a radiation passport,2
Messprotokoll zum Nachweis der Kontaminationsfreiheit,Measurement log to demonstrate freedom from contamination,2
Vortrag Transport radioaktiver Stoffe,Presentation on transporting radioactive substances,2
Mehr dazu,Learn more,2
Elternzeitantrag für Wissenschaftler*innen,Parental leave request for academic staff,2
Elternzeitantrag für Nichtwissenschaftler*innen,Parental leave request for non-academic staff,2
Frau,Ms.,2
Herr,Mr.,2
Zuständiger Sachbearbeiter:,Administrative assistant responsible:,2
Anmeldeformular Kinderbetreuungsplätze,Registration form for childcare places,2
pme Familienservice - Bonn,pme Familienservice in Bonn,2
Adresse:,Address:,2
Aktuelles im AGUM,Latest OHSE news,2
Maßnahmen bei Hitze,Measures to take in hot weather,2
Seminarprogramm,Seminar program,2
Gefährdungsbeurteilung & Maßnahmen,Risk assessments and measures,2
Formularcenter,Form center,2
AGUM von A-Z,OHSE from A to Z,2
Checkliste für Führungskräfte,Checklist for managers,2
Persönliche Schutzausrüstung (PSA) & Erste Hilfe,Personal protective equipment (PPE) and first aid,2
Parken,Parking,2
Vor- und Nachname *,First and last name *,2
E-Mail-Adresse *,Email address *,2
Einlieferungsliste,Posting list,2
Internationale Kooperationsverträge,International cooperation agreements,2
Internationale Mobilität für Lehrende/ Mitarbeitende,International mobility for teachers and other staff,2
Sprachkurse,Language courses,2
"Schwangerschaft, Mutterschutz und Elternzeit","Pregnancy, Maternity Protection and Parental Leave",2
Mehr Infos zum Arbeitschutz,More information on occupational health and safety,2
Leitfaden für schwangere oder stillende Wissenschaftlerinnen,Guide for pregnant or breastfeeding researchers,2
Vorlage zur Gefährdungsbeurteilung,Risk assessment template,2
Auszubildende,Apprentices,2
Pflege von Angehörigen,Caring for family members,2
Berufungen und Professur,Appointments and professorships,2
Personalrecruiting & Personaleinstellung,Recruiting and appointing staff,2
"Ausbildung, Karriere & Weiterbildung","Training, career and continual professional development",2
Rund um das Beschäftigungsverhältnis,All about the employment relationship,2
Familie & Beruf,Family and career,2
Gesundheit & Beihilfe,Health and assistance,2
Gehalt & Besoldung,Pay,2
Interne Stellenangebote,Internal vacancies,2
Externe Stellenangebote,External vacancies,2
Extern ausgeschriebene Stellen,Vacancies advertised externally,2
Wissens- und Technologietransfer,Knowledge and technology transfer,2
Internationale Förderprogramme,International grant programs,2
Geräte & Laborbedarf,Equipment and laboratory supplies,2
Promotion & Postdocphase,Doctorates and postdoctoral research,2
Bibliotheks- und Publikationsservices,Library and publication services,2
"Strahlen-, Tier- & Arbeitsschutz","Radiation protection, animal welfare and occupational safety",2
Forschungsförderung & Drittmittel,Research Funding and Third-Party Funding,2
Stundenzettel & Timesheets,Timesheets and similar,2
Haushaltsmittel,Budgetary resources,2
Forschungsförderung,Research funding,2
Tierschutz,Animal welfare,2
Arbeitsschutz,Occupational health and safety,2
Transferberatung: Ideenfindung & Innovationen,Transfer advice: coming up with ideas and innovations,2
IP Beratung: Erfindungen & Patente,IP advice: inventions and patents,2
Fördermittel: Transfer & Ausgründungen,Funding: transfer and spin-offs,2
Ideenwettbewerb,Ideas competition,2
Gründungsberatung: Start-ups & Selbstständigkeit,Start-up advice: setting up your own business,2
Co-Working-Spaces / -Labore,Co-working spaces/labs,2
Netzwerke und Kooperationen,Networks and partnerships,2
Öffentlichkeitsarbeit,Public relations,2
Fördern & Stiften,Providing funding and donations,2
Newsletter abonnieren,Subscribe to our newsletter,2
enaCom Veranstaltungskalender,enaCom event directory,2
Website EXIST Women 2023,“EXIST Women” 2023 web page,2
Zur Website Fördermöglichkeiten im Transferkontext,To the web page on transfer-related funding opportunities,2
Zur Website mit Antragsportal der Prototypisierungsgrants,To the web page containing the application portal for prototyping grants,2
Zur Website mit Antragsportal der Santander Innovation Grants,To the web page containing the application portal for Santander Innovation Grants,2
Website der Gründungsberatung der Uni Bonn,University of Bonn web page for start-up advice,2
Gründer*innen aus der Uni Bonn im Portrait,Profile of some start-up entrepreneurs from the University of Bonn,2
Schauen Sie in unser Veranstaltungsprogramm,Take a look at our event directory,2
"Krankheit, Arbeitsunfall und Kind krank","Illness, accidents at work and sick children",2
Abonnieren Sie den Newsletter hier,Subscribe to the newsletter here,2
Formular Erfindungsmeldung / Invention Disclosure (dt.),Invention Disclosure (form in English),2
Veranstaltungen am Transfer Center enaCom,Events at the enaCom Transfer Center,2
Patentstrategie der Universität Bonn,Patent Strategy of the University of Bonn,2
Mehr Informationen auf der Website,More information on the website,2
"Informationen zu Forschungsverträgen, u.a. auch Kooperationsverträge und Geheimhaltungsvereinbarungen","Information on research contracts, including cooperation agreements and confidentiality agreements",2
Gesundheitsangebote Healthy Campus,“Healthy Campus” health services,2
Psychosoziale und gesundheitliche Beratungsangebote,Psychosocial and health counseling services,2
Beihilfe für Beamt*innen,Civil servant healthcare benefit,2
Bildschirmarbeitsplatzbrille,Glasses for computer workstations,2
Juniorprofessur (W 1),Assistant professorships (W1),2
Tenure Track,Tenure-track professorships,2
Bericht Berufungsbeauftragte*r,Report by the appointments officer,2
Professurvertretung,Interim professorships,2
Seniorprofessur,Senior professorships,2
Gastprofessur / Distinguished Professorship Emeriti,Visiting professorships and Distinguished Professorships Emeriti,2
Kommission für besondere Berufungsverfahren / Zentrale Tenure-Track-Kommission,The Committee for Special Appointments and the Central Tenure Track Committee,2
Zuwendungsverträge,Grant agreements,2
Fellowship-Verträge,Fellowship contracts,2
Übertragung von Geräten,Transferring equipment,2
Wirtschaftliche Projekte,Commercial projects,2
Geheimhaltungsvereinbarungen (CDA/NDA),Confidentiality agreements (CDAs/NDAs),2
Zur Kontaktseite der Abteilung 7.2,To the contact page for Section 7.2,2
Zum Antragsportal,To the access portal,2
Zur Anleitung (pdf),To the user guide (PDF),2
Zum Formular,To the form,2
Informationsblatt EU,Information sheet for EU projects,2
EU-Timesheets 2023,EU timesheets 2023,2
Sie bekommen ein*e neue*n Mitarbeiter*in?,About to welcome a new colleague?,2
Informationen für neue Mitarbeiter*innen,Information for new employees,2
Arbeitszeugnis,References,2
Kündigen oder bleiben...?,Should I stay or should I go…?,2
Kündigungsfristen,Notice periods,2
Rente,Pensions for salaried employees,2
Pension,Pensions for civil servants,2
Austritt Mitarbeiter*in - Information für Führungskräfte,An employee is leaving—information for managers,2
Trauerfall / Sterbefall,A bereavement or death,2
Homepage Uni Bonn,University of Bonn website,2
Leitbild der Uni Bonn,The University of Bonn’s vision,2
Who is Who,Who’s Who,2
Organigramme der Universität Bonn,Organizational charts of the University of Bonn,2
360 Grad-Tour Uni Bonn,360-degree tour of the University of Bonn,2
Veranstaltungskalender,Event directory,2
Willkommensveranstaltung,Welcome event,2
Kommunikationskanäle der Uni,Communication channels at the University,2
Argelander Programm,Argelander Program,2
Stellenangebote der Universität Bonn,Vacancies at the University of Bonn,2
Online Presseschau/ Aktuelle Nachrichten,Online press review/Latest news,2
Rundschreiben der Verwaltung,Circulars from Central Administration,2
Newsletter Familie mit Kind,Parents’ newsletter,2
Information über Förderprogramme,Information on grant programs,2
Mailling-Listen,Mailing lists,2
Meldungen Confluence,Confluence notifications,2
Ticket Café des Hochschulrechenzentrums,University IT Ticket Café,2
Informationen und Beratung für international Forschende,Information and advice for international researchers,2
Uni ID,Uni-ID,2
Bildpool,Image pool,2
Telefonbuch,Phone book,2
HRZ Supportanfrage,University IT support request,2
Serviceportal Seite des zentralen Übersetzungsservices,Central Translation Service page in the Service Portal,2
Mitarbeiter- und Konfliktberatung,Staff counseling and conflict mediation,2
Zum Webauftritt des Personalrats der Beschäftigten in Technik und Verwaltung,To the web page of the Technical and Administrative Staff Council,2
Zum Webauftritt des Personalrats der wissenschaftlich Beschäftigten,To the web page of the Academic Staff Council,2
Zum Webauftritt der Schwerbehindertenvertretung,To the web page of the Office of Disability Resources,2
Zum Webauftritt der Gleichstellungsbeauftragten,To the web page of the Gender Equality Office,2
Weiterbildung,Continual professional development,2
Gesundheitsangebote Healthy Campus Bonn,Health services from Healthy Campus Bonn,2
Hochschulsport Uni Bonn,University Sports at the University of Bonn,2
Car Sharing,Carsharing,2
Queer BN der Uni Bonn,University of Bonn Queer Employee Network,2
BiPoC BN der Uni Bonn,University of Bonn BIPoC Employee Network,2
Umzugskostenerstattung,Reimbursement of relocation costs,2
Gewährung von Trennungsentschädigung,Payment of the separation allowance,2
Checkliste zur Beschaffung und Kostenerstattung (pdf),Procurement and reimbursement checklist (PDF),2
Anmeldeformular (pdf),Registration form (PDF),2
Antrag Kostenerstattung (pdf),Request for reimbursement (PDF),2
"Was, wenn ich wieder kommen will?",What if I want to come back?,2
Antrag auf Weiterbeschäftigung,Request for continued employment,2
Antrag auf Kündigung / Auflösung,Request for termination,2
Grundsätze,Basic principles,2
Lehren im Ausland,Teaching abroad,2
Erasmus-Personalmobilität,Erasmus Staff Mobility,2
DAAD (außer PRIME),DAAD (except PRIME),2
Deutsch Französische Hochschule,Franco-German University,2
Antrag vorgezogene Namensänderung und/oder Geschlechtseintrag,Form for an early change of name and/or gender,2
Infoseite Gleichstellung,Information page on gender equality,2
Infoseite Inklusionsbeauftragter,Information page on the Inclusion Commissioner,2
Infoseite Schwerbehindertenvertretung,Information page on the Office of Disability Resources,2
Internationales Gästehaus,International Guesthouse,2
Zur Webseite des Internationalen Gästehaus,To the International Guesthouse web page,2
Internationale Forschende mit Arbeitsvertrag,International researchers with a work contract,2
Internationale Forschende mit Stipendium/ Selbstfinanzierung,International researchers with a scholarship/self-funding,2
Vorbereitung des Aufenthalts,Preparing for your stay,2
Ankunft in Bonn,Arriving in Bonn,2
Veranstaltungskalender des Welcome Centers,Welcome Center event directory,2
Uni-ID für internationale Gäste,Uni-ID for international guests,2
Deutsch lernen,Learning German,2
Weitere Informationen finden Sie auf unserer Webseite,You can find more information on our web page.,2
Urlaubshandbuch,Vacation Leave Policy Guide,2
Elternzeit mit und ohne Teilzeitbeschäftigung,Parental leave with and without part-time employment,2
Sonderurlaubsantrag für Wissenschaftler*innen,Special leave request for academic staff,2
Sonderurlaubantrag für Nichtwissenschaftler*innen,Special leave request for non-academic staff,2
Antrag auf Personalbearbeitung nicht-wissenschaftliches Personal,Personnel Processing Request for Non-Academic Staff,2
Antrag auf Personalbearbeitung wissenschaftliches Personal,Personnel Processing Request for Academic Staff,2
Kommunikation mit Bewerber*innen,Communicating with applicants,2
Auswahlverfahren,The selection procedure,2
Einstellung neue*r Mitarbeiter*in,Appointing new staff,2
Praktikum,Internships,2
"Freiwilligendienste (FÖJ, FSJ, BFD / Bufdi)","Voluntary service (FÖJ, FSJ, BFD/Bufdi)",2
"Änderung persönlicher Daten, Bescheinigungen",Changing personal data; confirmations and certificates,2
Arbeitszeit und Telearbeit,Working hours and telework,2
"Erholungsurlaub, Beurlaubungen, Arbeitsbefreiung","Vacation leave, leaves of absence, release from work duties",2
Dienstreisen & Arbeiten im Ausland,Business trips and working abroad,2
Weiterbeschäftigung & Vertragsverlängerung,Continued employment and contract extensions,2
"Umsetzung, Abordnung, Versetzung","Transfers, educational leave and secondments",2
Rechtliche Rahmenbedingungen,Legal framework,2
An- und Abwesenheitsmeldung,Reporting staff presence and absence,2
"Schwangerschaft, Mutterschutz & Elternzeit","Pregnancy, maternity protection and parental leave",2
Arbeiten und Forschen mit Kind,Working and researching with children,2
Gehalt,Pay for salaried employees,2
Nebentätigkeiten verbeamtetes Personal,Secondary employment for civil servants,2
Nebentätigkeiten Angestellte,Secondary employment for salaried employees,2
Externes Rechnungswesen (Buchhaltung),External accounting,2
Controlling & Budget,Controlling and budgeting,2
Personalfinanzierung,Funding staff,2
Forschungsfinanzierung,Funding research,2
Campussicherheit,Campus safety,2
Entsorgung & Abfallvermeidung,Preventing and disposing of waste,2
Flächenmanagement,Land management,2
"Hausmeisterdienste, Post, Grünpflege & Reinigung","Janitor services, mail, gardening and cleaning",2
"Parken, Fahrdienst, KFZ & Fahrrad","Parking, transport services, cars and bicycles",2
Störungsmeldung Gebäude,Reporting a building fault,2
Rundschreiben 17/2023,Circular No. 17/2023,2
Buchungsbegleitblatt,Accompanying item entry sheet,2
Hauptbuchhaltung,General Ledger Accounting,2
Was ist KILIAN?,What is KILIAN?,2
Stand:,Last revised:,2
Inhalt,Contents,2
Mehr Informationen zu Fördermöglichkeiten,More information on funding opportunities,2
"Fragen zu Geheimhaltungsvereinbarungen, Kooperationsverträgen oder Auftragsforschung","Questions about non-disclosure agreements, cooperation agreements or contract research",2
Mehr Informationen zu Netzwerk und Kooperationen,More information on networks and partnerships,2
Zum Ideenwettbewerb,To the ideas competition,2
Fehlzeitenkarte BioSC (24),Absence log for BioSC (24),2
EIP Ausschließlichkeitserklärung,EIP declaration of exclusivity,2
Personalnummer *,Staff ID number *,2
Vorgesetzte Person *,Line manager *,2
Von *,From *,2
Bis *,To *,2
Stundenzahl *,Number of hours *,2
intervall *,Frequency *,2
Höhe des Entgelts / Honorars *,Remuneration *,2
Arbeitgeber inkl. Anschrift *,"Employer, including address *",2
Rechtsverhältnis *,Employment arrangements *,2
"Anlagen, z.B. Arbeitsvertrag *","Attachments, e.g. work contract *",2
Richtigkeit der Angaben *,The information provided is correct *,2
Interessenkonflikt *,Conflict of interest *,2
Allgemeine Hinweise zum Datenschutz,General information on privacy and data protection,2
Verarbeitungsverzeichnis (VVT),Processing log,2
Leitfaden für öffentliche Stellen,Guidelines for public-sector bodies,2
Rahmenregelungen zur IT-Sicherheit,General rules on IT security,2
Dienstanweisung Datenschutz und IT-Sicherheit in der Verwaltung,"Policy on privacy, data protection and IT security in the administration",2
Benutzungsordnung Rechenzentrum,University IT user regulations,2
Rundschreiben 38/2018 (Umsetzungshinweise zur EU-DSGVO),Circular no. 38/2018 (notes on implementing the GDPR),2
Rundschreiben 24/2015 (Ergänzende Regelungen),Circular no. 24/2015 (supplementary regulations),2
Rundschreiben 35/2015 (Datenschutzbeauftragter),Circular no. 35/2015 (Data Protection Officer),2
Rundschreiben 32/2013 (Meldung von IT-Sicherheitsvorfällen),Circular no. 32/2013 (reporting IT security incidents),2
Muster Datenschutzerklärung,Privacy notice template,2
Muster Informationspflicht,Notification requirements template,2
Muster Einwilligung,Consent form template,2
Muster Auftragsverarbeitung,Data processing agreement template,2
EU-Datenschutz-Grundverordnung (deutsch),EU General Data Protection Regulation (in German),2
EU-Datenschutz-Grundverordnung (englisch),EU General Data Protection Regulation (in English),2
Weitere Infos,More information,2
E-Mail senden an das Sicherheitsteam,Email the security team,2
Infos,Information,2
Bundesbeauftragte für den Datenschutz und die Informationsfreiheit,Federal Commissioner for Data Protection and Freedom of Information,2
EU-Datenschutzausschuss,European Data Protection Board,2
Datenschutz in der EU,Data protection in the EU,2
Führungskräfte Technik & Verwaltung,Managers working with technical and administrative staff,2
Führungskräfte Wissenschaft,Managers working with academic staff,2
Kontaktanfrage,Contact form,2
Veranstaltungen,Events,2
Berechnungsprogramm für die Arbeitgeberkosten,Program for calculating employer’s costs,2
Bruttogehälter Hilfskräfte,Assistants’ gross pay,2
Überstundennachweis,Overtime record,2
Infos TV-L für Mitarbeitende in der Informations- und Kommunikationstechnologie,TV-L information for staff working in information and communication technology,2
Kontaktformular des LBV,LBV NRW contact form,2
Themenbereich *,Category *,2
"Poppelsdorfer Allee 31-33, 53115 Bonn","Poppelsdorfer Allee 31–33 53115 Bonn, Germany",2
07:00 - 16:00 Uhr,7 am to 4 pm,2
Grundsätzlich gilt:,"As a basic principle,",2
Divers,Mx.,2
Exzellenzcluster,Cluster of Excellence,2
SFB,CRC,2
Immatrikulationsbescheinigung mit Angabe des Faches ist beigefügt.,Certificate of enrollment indicating subject is enclosed.,2
und,and,2
Dienstleistungen,Services,2
