de_text,en_grtr,en_tr_llm
"Wenn kein Datum für die Abholung genannt wird, bitten wir Sie, sich bei Abholungs- wunsch mit uns in Verbindung zu setzten.","If no date is specified for pickup, please contact us if you would like to arrange a pickup.","If no Date for the Pickup is given, please contact us about your Pickup request."
"Mit meiner Unterschrift bestätige ich, dass der Abfall den in der Entsorgungsrichtlinie genannten Kriterien entspricht und dass zum Entsorgungstermin ein Mitarbeiter als Ansprechpartner zur Verfügung steht.","By signing, I confirm that the waste meets the criteria in the waste disposal guidelines and that a member of staff will be available to act as a point of contact at the time of disposal.",By my Signature I confirm that the waste meets the criteria set out in the Waste Disposal Guidelines and that a staff member will be available as a Contact on the disposal date.
"Wichtig: Hier die Behälter angeben, die nicht den Gefahrguttransportvorgaben entsprechen (beschädigt oder Kunststoffbehälter älter als 5 Jahre).",Here you should list the containers that do not comply with the transport regulations for dangerous goods (because they are damaged or more than five years old and made of plastic).,N.B.: List the containers here that do not comply with hazardous‑material transport requirements (damaged or plastic containers older than five years).
Die oben angegebenen Behälter sind mit mindestens einer intakten Plombe versehen.,The containers listed above are fitted with at least one intact seal.,The containers listed above are fitted with at least one intact seal.
Zur Identifizierung des ausgebauten Filters bitte auf die Verpackung eine Kopie dieses vollständig ausgefüllten Formulars kleben!,Please stick a copy of this form to the packaging once it has been completed in full in order to identify the filter that has been removed.,"To identify the removed filter, please attach a copy of this fully completed form to the packaging."
Die auf Seite 2 aufgelisteten Abfälle werden hiermit zur Entsorgung angemeldet.,I would like to report the waste listed on page 2 for disposal.,The waste listed on Page 2 is hereby registered for disposal.
"Mit der Unterschrift wird bestätigt, dass es sich um Abfälle oder Abfallgemische handelt, bei denen aufgrund der Zusammensetzung gefährliche Reaktionen auszuschließen sind.","By signing, I confirm that the waste or mixtures of wastes involved cannot trigger a dangerous reaction on account of its/their composition.",The Signature confirms that the material is waste or waste mixtures for which dangerous reactions can be ruled out because of the Composition.
Insbesondere organische Flüssigkeiten bzw. Lösemittel enthalten keine Peroxide.,"In particular, there are no organic liquids and/or solvents that contain peroxides.","In particular, there are no organic liquids and/or solvents that contain peroxides."
"Ich versichere, dass ich bis zur Entsorgung sicherstelle, dass von den Behältern oder deren Inhalt keinerlei Gefahr für Personen oder die Umwelt ausgehen kann.",I hereby confirm that I shall ensure that neither the containers nor their contents can pose any risk whatsoever to people or the environment right up until the waste is disposed of.,"I certify that, up to disposal, I will ensure that the containers or their contents present no danger to people or the environment."
Diese sind direkt vom Institut an den Vermieter zurückzugeben!,and must be returned to the hire firm by the institute or department itself.,"These must be returned directly to the landlord, dated by the Institute!"
"Hiermit bestätige ich, dass alle mit diesem Entsorgungsantrag angemeldeten Sonderabfälle von der Abteilung 4.1 - Zentrale Serviceaufgaben entsorgt wurden.",I hereby confirm that all the special waste reported in this waste disposal request has been disposed of by Section 4.1—Infrastructure and Facility Services.,I hereby confirm that all special waste registered with this disposal request have been disposed of by Section 4.1 – Central Service Tasks.
Von der Entsorgung ausgeschlossen sind radioaktive Substanzen und infektiöse Abfälle.,Radioactive substances and infectious waste cannot be disposed of via the usual channels.,Radioactive substances and infectious waste are excluded from disposal.
Die Verpackung der Chemikalien erfolgt ausschließlich durch Mitarbeiter der beauftragten Firmen.,Chemicals may only be packaged by staff from the companies tasked with the work.,The packaging of the chemicals is carried out exclusively by employees of the contracted companies.
"Die Chemikalien müssen, soweit möglich, bei der Anmeldung den verschiedenen Gruppen zugeordnet werden.",The chemicals must be assigned to the various groups when the report is submitted if possible.,"The chemicals must, as far as potential permits, be assigned to the various groups during registration."
Für folgende Abfallgemische kann keine Zuordnung anhand der Entsorgungsrichtlinie erfolgen.,The following mixtures of wastes cannot be categorized in accordance with the waste disposal guidelines.,None of the following waste mixtures can be assigned based on the Waste Disposal Guidelines.
"Es ist ausreichend, die Gebindegröße und die jeweilige Anzahl anzugeben.",Stating the size and quantity of each container is sufficient.,Stating the size and quantity of each container is sufficient.
"Wenn die Tabelle nicht ausreichend ist, bitte weitere Chemikalien in einer ähnlichen Excelliste aufführen.","If you need more space, please list additional chemicals in an Excel spreadsheet with a similar layout.","If the table is insufficient, please list additional chemicals in a similar Excel list."
"Darin eingeschlossen sind Laborabfälle, Abfälle aus dem Erhalt und Pflege der Gebäude und Flächen, Rest- bzw. Siedlungsabfall, Papier- und Kartonagen, Transportverpackungen sowie diverse andere Abfälle.","including laboratory waste, waste from maintaining and looking after buildings and spaces, general and residential waste, paper and cardboard, transport packaging and waste of many other kinds.","Included are laboratory waste, waste from the maintenance and upkeep of the building and its grounds, residual (municipal) waste, Paper and cardboard, Transport packaging, and various other waste."
Die vorliegende Richtlinie stellt Ihnen die Organisation der Abfallwirtschaft innerhalb der Universität Bonn vor und gibt Ihnen Hilfestellung bei der Einstufung und Entsorgung von Abfällen.,These guidelines explain how waste management is organized at the University of Bonn and will help you to categorize and dispose of your waste.,This guideline introduces the organization of waste management at the University of Bonn and provides assistance with waste classification and Disposal.
"Nicht nur der wirtschaftliche Aspekt, sondern ebenso der Umweltgedanke verpflichtet die Universität Bonn zur Einhaltung der Grundsätze der Kreislaufwirtschaft.","That the University of Bonn is committed to upholding the principles of the circular economy is down not only to economic considerations but also, and in particular, the environmental aspect.","Not only the economic aspect, but also the environmental concern obliges the University of Bonn to adhere to the basic principles of the circular economy."
"Abfälle sind in erster Linie zu vermeiden, in zweiter Linie zu verwerten und erst in letzter Instanz zu beseitigen.","Waste must ideally be avoided. If this is not possible, it must be recycled, and only as a last resort is it to be disposed of.","Waste should first be avoided, then recovered, and only as a last resort be disposed of."
"Im Hochschulbereich kann unter Beachtung dieser Grundsätze das Abfallaufkommen nicht nur erheblich reduziert, sondern darüber hinaus ebenso die Entsorgungskosten minimiert werden.",Adhering to these principles will enable the University not only to significantly reduce the amount of waste it generates but also to minimize the costs for disposing of it.,"In the higher education sector, by observing these basic principles, waste generation can not only be significantly reduced, but also disposal costs can be minimized."
"Demnach sollte schon vor dem Neukauf von Einrichtungsgegenständen, Apparaturen oder elektrischen/elektronischen Geräten auf einen möglichen Entsorgungsweg der Altgeräte geachtet werden.","Even before buying any new appliances, apparatus or electric/electronic devices, therefore, institutes, departments and units should consider how they might dispose of their old equipment.","Accordingly, even before buying new furnishings, apparatuses, or electrical/electronic devices, one should consider the possible disposal method for the old equipment."
Viele Anbieter nehmen auf Anfrage die alten Geräte im Austausch zurück.,Many providers will take it back if you ask them.,Many providers will take it back if you ask them.
"Bitte informieren Sie sich daher bei Neuanschaffungen, Wartungsarbeiten oder Reparaturen immer bei ihrem jeweiligen Dienstleister, ob dieser Entsorgungsservice angeboten wird, und setzen Sie sich mit der Abteilung 4.1 – Sachgebiet Entsorgung und Gefahrgut in Verbindung.","This means that, when making a new purchase or commissioning maintenance or repair work, you should always ask your service provider whether they offer such a disposal service and get in touch with Section 4.1, Waste Management and Hazardous Materials Unit.","Therefore, whenever you acquire new equipment, perform maintenance, or carry out repairs, please always check with your respective service provider whether they offer a disposal service, and get in touch with Section 4.1 – Waste Management and Hazardous Materials Unit."
Seit der deutschlandweiten Umstellung von der Abfallentsorgung auf die differenziertere Abfallwirtschaft liegt das Hauptaugenmerk auf der Reduzierung der Abfallmengen zur Beseitigung.,"Since Germany switched from disposing of all its waste to a more nuanced approach to waste management, the focus has been on reducing the amount of waste requiring disposal.","Since the nationwide shift from waste disposal to a more differentiated waste management system, the main focus has been on reducing the amounts of waste destined for disposal."
"Eine Maßnahme ist es, die Abfälle zu sortieren, zu trennen und einer Verwertung zu kommen zu lassen, z. B. getrenntes Sammeln der Kunststoffabfälle.","One way of doing this is to sort and separate waste and arrange for it to be re-used, e.g. by collecting different kinds of plastic waste separately.","An Action is to sort the waste, separate it, and bring it to utilization, e.g., separate collection of plastic waste."
"Das Weiter- oder Wiederverwenden von Gegenständen oder Chemikalien kann über sogenannte Tausch-, Altgeräte- oder Chemikalienbörsen organisiert werden.",There exist websites and other platforms for arranging the continued use or re-use of old equipment or chemicals.,"Further or repeated use of items or chemicals can be organized regarding so-called exchange, used‑device, or chemical exchanges."
"Zudem ist es bei Bestellungen von Chemikalien ratsam, nur die tatsächlich benötigte Menge zu bestellen, um hohe Entsorgungskosten zu vermeiden.","When buying chemicals, it is also a good idea not to order any more than is required in order to avoid high disposal costs.","Moreover, when ordering chemicals, it is advisable to order only the amount actually needed to avoid high disposal costs."
Diese Richtlinie regelt die ordnungsgemäße Sammlung und Entsorgung von Abfällen.,These guidelines explain how to collect and dispose of waste correctly.,These guidelines explain how to collect and dispose of waste correctly.
"Teil A erörtert die Abfallgruppen und die Entsorgung von nicht chemischen Abfällen wie gemischte Siedlungsabfälle (Restmüll), Altpapier oder Elektronikschrott und gilt für die Rheinische Friedrich-Wilhelms-Universität Bonn.","Part A covers the various waste groups for and the disposal of non-chemical waste such as mixed residential waste (general waste), used paper or e-waste and applies to the University of Bonn.","Part A discusses the waste categories and the disposal of non‑chemical waste such as mixed municipal waste (residual waste), waste paper, or e‑waste, and applies to the University of Bonn."
"Teil B erörtert die Abfallgruppen und die Entsorgung von chemischen Abfällen, die in der Regel in Laboratorien oder Werkstätten anfallen.","Part B covers the various waste groups for and the disposal of chemical waste, which is usually generated in laboratories or workshops.",Part B discusses the waste categories and the Disposal of chemical waste that typically arises in laboratories or workshops.
"Dieser Teil gilt für die Rheinische Friedrich-Wilhelms-Universität Bonn, das Universitätsklinikum Bonn sowie die Stiftung zool. Forschungsmuseum Alexander Koenig.","This part applies to the University of Bonn, the University Hospital Bonn and the Zoological Research Museum Alexander Koenig Foundation.","This part applies to the University of Bonn, the University Hospital Bonn, and the Alexander Koenig Zoological Research Museum Foundation."
Die chemischen Abfälle sind regelmäßig (d. h. mindestens einmal jährlich) auf ihre Zusammensetzung zu überprüfen.,The composition of chemical waste must be checked regularly (i.e. at least once a year).,"The chemical waste must be regularly (i.e., at least once every year) checked for its composition."
"Ebenso ist bei den nicht chemischen Abfällen in regelmäßigen Abständen zu überprüfen, ob die von Ihnen angegebenen Abfallmengen dem aktuellen Stand und die Abfallarten den Vorgaben der Richtlinie weiterhin entsprechen.",Non-chemical waste must also be checked regularly to verify whether the amounts of waste that you have indicated are still accurate and the types of waste continue to comply with the provisions of these guidelines.,"Likewise, for non‑chemical waste, it should be verified regularly whether the waste quantities you have provided are in line with the current last revised figures and whether the waste types continue to meet the directive’s criteria."
Eine Veränderung in Bezug auf Abfallart oder -menge ist der Abteilung 4.1 – Sachgebiet Entsorgung und Gefahrgut zeitnah schriftlich mitzuteilen.,"Any change of type or amount of waste must be communicated promptly to Section 4.1, Waste Management and Hazardous Materials Unit in writing.",Any change concerning the type of waste or the amount must be reported in writing to Section 4.1 – Waste Management and Hazardous Materials Unit promptly.
"Um die Abfallmengen und somit ein entstehendes Gefahrenpotenzial gering zu halten, wird eine regelmäßige Entsorgung der entstehenden Abfälle empfohlen.",The regular disposal of all waste generated is recommended in order to minimize the amount of waste and thus any hazard it might pose.,"To keep waste quantities and thus the emerging hazard potential low, regular disposal of the generated waste is recommended."
Die Richtlinie gilt für alle hier beschriebenen Abfälle.,The guidelines apply to all kinds of waste described in this document.,The guidelines apply to all kinds of waste described in this document.
"Entstehen Abfälle, die nicht in dieser Richtlinie aufgeführt sind, so ist zur Gewährleistung der Entsorgungssicherheit rechtzeitig und vorab Kontakt mit dem Sachgebiet Entsorgung und Gefahrgut aufzunehmen.","If you encounter waste that is not covered by these guidelines, you must contact the Waste Management and Hazardous Materials Unit in good time and before disposing of it to make sure that this is done safely.","If waste arises that is not listed in this guideline, contact the Waste Management and Hazardous Materials Unit promptly and beforehand to ensure disposal safety."
"Uranylacetat als Chemikalie, gebrauchsfertige Lösungen und verunreinigte Betriebsmittel fallen ebenfalls hierunter.","This also includes uranyl acetate for use as a chemical, ready-to-use solutions and contaminated equipment or operating materials.","Uranyl acetate as a chemical, ready-to-use solutions, and contaminated operating materials also fall under this category."
"Hilfestellung bieten die Stabsstellen Strahlenschutz, jede für Ihren Bereich Universität Bonn und Universitätsklinikum Bonn getrennt.","For assistance, please contact either of the Radiation Protection Units, one of which is responsible for the University of Bonn and the other for the University Hospital Bonn.","Radiation protection staff units provide assistance, each for its own team—the University of Bonn and the University Hospital Bonn—separately."
Hilfestellung bietet die Abfallwirtschaft des Universitätsklinikums Bonn.,Please contact the University Hospital Bonn’s Waste Management team for assistance.,Please contact the University Hospital Bonn’s Waste Management team for assistance.
"Betäubungsmittel Hilfestellung bietet § 16 Betäubungsmittelgesetz (BtMG), Betriebsärztlicher Dienst (Tel.: 287–16176).","Anesthetics/narcotic drugs For assistance, please consult § 16 of the Narcotic Drugs Act (Betäubungsmittelgesetz, BtMG) and/or the staff physicians office (phone: 287-16176).",Assistance with narcotics is provided under § 16 of the Narcotics Act (BtMG) by the Staff physicians office (Phone: 287‑16176).
"Diese Abfälle werden in der Regel innerhalb der gentechnischen Anlage bzw. des Labors autoklaviert,– Hilfestellung bietet für den Bereich der Universität Bonn die Stabsstelle - Arbeits- und Umweltschutz, für das Universitätsklinikum Bonn die Stabsstelle - Arbeitsschutz.","This waste is generally autoclaved in the relevant genetic engineering facility or laboratory. For assistance, please contact the Occupational Safety and Environmental Protection Unit for the University of Bonn or the Occupational Safety Unit for the University Hospital Bonn.","These wastes are usually autoclaved within the genetic engineering Enclosed or the laboratory. Assistance for the Team at the University of Bonn is provided by the Unit – Occupational health and safety and environmental‑protection, and for the University Hospital Bonn by the Unit – Occupational health and safety."
Diese Aufstellung beinhaltet nur die wichtigsten Bestimmungen und erhebt keinen Anspruch auf Vollständigkeit.,This list contains only the most important regulations and makes no claim to be complete.,This setup includes only the most important provisions and does not claim to be exhaustive.
Die in dieser Richtlinie genannten Anforderungen und Rahmenbedingungen sind verpflichtend für jeden einzelnen Abfallerzeuger.,The requirements and conditions set out in these guidelines are binding on anyone generating waste (the “waste producer”).,The requirements and general information set out in this guideline are mandatory for every waste producer.
Die Verantwortung des Abfallerzeugers für den Abfall endet erst mit der ordnungsgemäßen Beseitigung oder Verwertung.,"They do not stop being responsible for their waste until it has been correctly disposed of, re-used or recycled.",The waste producer's responsibility for the waste ends only upon proper disposal or utilization.
Die Übergabe der Abfälle an die Abteilung 4.1 oder sonstige Dritte entbindet nicht dieser Verantwortung.,Handing waste over to Section 4.1 or other third parties does not constitute a release from this responsibility.,The handover of the waste to Section 4.1 or other third parties does not relieve this responsibility.
"Die Abteilung 4.1 – Sachgebiet Entsorgung und Gefahrgut ist als behördlicher Ansprechpartner und federführendes Bindeglied im Bereich Entsorgung verpflichtet, die Reihenfolge der Abfallwirtschafts - Grundsätze und alle weiteren rechtlichen Vorgaben einzuhalten und daher dem allgemeinen Umweltgedanken Rechnung zu tragen.","As the point of contact for the authorities and the lead member of the waste disposal organization, Section 4.1, Waste Management and Hazardous Materials Unit is required to observe the hierarchy of waste management principles and all other statutory provisions and thus to support the general environmental cause.","Section 4.1, Waste Management and Hazardous Materials Unit, as the official contact and leading liaison in the waste disposal team, is obliged to adhere to the sequence of waste‑management basic principles and all other legal criteria, thereby taking the overall environmental consideration into account."
"Es ist bindend, die Abteilung 4.1 – Sachgebiet Entsorgung und Gefahrgut bei allen Entsorgungsvorgängen zu informieren und einzubinden.","Section 4.1, Waste Management and Hazardous Materials Unit must be notified of and involved in all waste disposal measures.","It is mandatory to inform and involve Section 4.1, Waste Management and Hazardous Materials Unit in all waste disposal processes."
Die Abwicklung von Entsorgungsvorgängen erfolgt federführend durch das Sachgebiet Entsorgung und Gefahrgut.,The Waste Management and Hazardous Materials Unit is to take the lead in handling waste disposal measures.,The processing of waste disposal procedures is primarily carried out by the Waste Management and Hazardous Materials Unit.
Die Beauftragung von externen Entsorgungsunternehmen erfolgt ausschließlich durch das Sachgebiet Entsorgung und Gefahrgut.,Only the Waste Management and Hazardous Materials Unit may engage external waste disposal companies.,The commissioning of external waste disposal firms is carried out exclusively by the Waste Management and Hazardous Materials Unit.
"Bei eigenständiger Beauftragung oder der Nichteinhaltung von Vorgaben, behält sich das Sachgebiet Entsorgung und Gefahrgut vor, das betreffende Institut an den Entsorgungskosten zu beteiligen.","Where an institute or department has ordered work itself or breached regulations, the Waste Management and Hazardous Materials Unit reserves the right to require the institute or department concerned to contribute to the costs.","If there is independent commissioning or non‑compliance with the criteria, the Waste Management and Hazardous Materials Unit reserves the right to require the concerned Institute to share in the disposal costs."
"Es ist Aufgabe des Instituts, das Sachgebiet Entsorgung und Gefahrgut der Abteilung 4.1 über alle anfallenden chemischen und nicht chemischen Abfälle schriftlich zu informieren.","The institute or department is responsible for notifying Section 4.1, Waste Management and Hazardous Materials Unit of any chemical or non-chemical waste that it generates.",The institute's duties include informing the Waste Management and Hazardous Materials Unit of Section 4.1 in writing regarding all chemical and non‑chemical waste.
"Dies beinhaltet die Abfallart/-zusammensetzung, Menge und den voraussichtlichen Entsorgungsturnus oder den erwünschten Abholtermin bei einer Entsorgung.","This includes the type/composition of the waste, its amount and the expected frequency of its disposal or, as appropriate, the desired date and time of pickup for disposal.","This includes the type of waste/composition, quantity, and the expected disposal schedule or the desired pick‑up date for a disposal."
"Jeder Abfallerzeuger ist verpflichtet, die einzelnen Abfallarten derart getrennt zu sammeln, dass insbesondere bei den chemischen Abfällen gefährliche Reaktionen ausgeschlossen sind.","All waste producers are required to collect up individual types of waste separately in such a way that hazardous chemical reactions are avoided, especially involving chemical waste.","Every waste producer is required to collect each type of waste separately so that, in particular, dangerous reactions are excluded for chemical waste."
Die in der Entsorgungsrichtlinie aufgeführten Abfallarten entbinden die Abfallerzeuger nicht von dieser Überprüfung.,The types of waste listed in these waste disposal guidelines do not release waste producers from this duty to check.,The waste types listed in the Waste Disposal Guidelines do not exempt waste producers from this review.
